iso3,name,co2_per_capita,co2_year,renewable_share,renewable_year,ecological_footprint,biocapacity
USA,United States,14.9,2023,11.7,2022,8.22,3.76
CAN,Canada,14.2,2023,23.1,2022,8.17,16.01
MEX,Mexico,3.7,2023,11.1,2022,2.89,1.27
BRA,Brazil,2.3,2023,50.1,2022,3.11,9.08
ARG,Argentina,4.0,2023,13.9,2022,3.14,6.92
CHL,Chile,4.3,2023,26.5,2022,4.36,3.63
GBR,United Kingdom,4.6,2023,13.5,2022,7.93,0.56
FRA,France,4.0,2023,15.4,2022,5.14,3.11
DEU,Germany,7.1,2023,19.6,2022,5.30,2.27
ESP,Spain,4.3,2023,21.2,2022,3.67,1.25
ITA,Italy,5.2,2023,18.3,2022,4.61,1.08
NOR,Norway,7.2,2023,61.3,2022,4.98,8.18
SWE,Sweden,3.3,2023,66.0,2022,7.25,10.62
IND,India,2.1,2023,23.2,2022,1.16,0.45
CHN,China,8.0,2023,15.2,2022,3.38,0.94
JPN,Japan,7.8,2023,8.8,2022,5.02,0.72
KOR,South Korea,11.6,2023,4.7,2022,5.69,0.68
IDN,Indonesia,2.6,2023,20.5,2022,1.58,1.26
VNM,Vietnam,3.7,2023,20.8,2022,1.65,1.00
AUS,Australia,14.3,2023,12.4,2022,9.31,16.57
NZL,New Zealand,6.2,2023,30.5,2022,5.60,10.14
ZAF,South Africa,6.8,2023,10.5,2022,3.31,1.15
KEN,Kenya,0.4,2023,73.1,2022,1.03,0.51
NGA,Nigeria,0.7,2023,82.2,2022,1.16,0.70
EGY,Egypt,2.4,2023,6.2,2022,2.15,0.56
MAR,Morocco,2.0,2023,12.4,2022,1.68,0.71
SAU,Saudi Arabia,17.0,2023,0.1,2022,5.61,0.50
ARE,United Arab Emirates,20.3,2023,1.4,2022,4.94,1.32
CRI,Costa Rica,1.6,2023,38.6,2022,2.84,1.53
CHE,Switzerland,4.0,2023,28.8,2022,5.79,1.30
